REGION,Total_cases,Risk_Index
0,1193,0
1,4608,2
2,3525,1
0,906,0
1,3150,2
2,2122,1
0,389,0
1,2279,2
2,1406,1
0,893,0
1,4295,2
2,2906,1
0,1099,0
1,4961,2
2,2781,1
0,1076,0
1,4214,2
2,2874,1
0,830,0
1,3747,2
2,2819,1
0,656,0
1,3934,2
2,2686,1
0,605,0
1,3312,2
2,1428,1
0,294,0
1,2140,2
2,652,1
0,725,0
1,3224,2
2,1708,1
0,740,0
1,3770,2
2,2232,1
0,877,0
1,3978,2
2,2404,1
0,626,0
1,3338,2
2,2257,1
0,808,0
1,3679,2
2,2358,1
0,439,0
1,3107,2
2,1668,1
0,245,0
1,2149,2
2,796,1
0,537,0
1,3793,2
2,1906,1
0,714,0
1,3604,2
2,2617,1
0,568,0
1,3659,2
2,2152,1
0,836,0
1,3716,2
2,2108,1
0,484,0
1,3852,2
2,2111,1
0,428,0
1,3195,2
2,1455,1
0,318,0
1,2756,2
2,1020,1
0,538,0
1,3788,2
2,1899,1
0,666,0
1,4984,2
2,1992,1
0,603,0
1,3777,2
2,2281,1
0,860,0
1,3838,2
2,2120,1
0,579,0
1,3911,2
2,2193,1
0,504,0
1,2839,2
2,1854,1
0,215,0
1,2139,2
2,517,1
0,573,0
1,3702,2
2,1715,1
0,621,0
1,4053,2
2,2151,1
0,446,0
1,3947,2
2,1645,1
0,406,0
1,3659,2
2,1773,1
0,222,0
1,2094,2
2,474,1
0,145,0
1,2087,2
2,611,1
0,163,0
1,2199,2
2,879,1
0,586,0
1,3354,2
2,1583,1
0,533,0
1,3764,2
2,1915,1
0,442,0
1,2996,2
2,1581,1
0,341,0
1,2666,2
2,1404,1
0,203,0
1,1711,2
2,847,1
0,222,0
1,2031,2
2,834,1
0,384,0
1,1878,2
2,726,1
0,413,0
1,3186,2
2,1394,1
0,751,0
1,3226,2
2,1528,1
0,640,0
1,2727,2
2,1648,1
0,562,0
1,2928,2
2,1266,1
0,580,0
1,2548,2
2,1453,1
0,446,0
1,2309,2
2,1020,1
0,239,0
1,1584,2
2,421,1
0,501,0
1,2618,2
2,1425,1
0,733,0
1,2723,2
2,1398,1
0,589,0
1,2918,2
2,1199,1
0,529,0
1,2617,2
2,1302,1
0,480,0
1,3037,2
2,1239,1
0,329,0
1,1961,2
2,823,1
0,272,0
1,1283,2
2,425,1
0,589,0
1,3037,2
2,1293,1
0,819,0
1,3477,2
2,1617,1
0,397,0
1,3262,2
2,1513,1
0,648,0
1,2960,2
2,1492,1
0,675,0
1,3457,2
2,1397,1
0,494,0
1,2479,2
2,1094,1
0,232,0
1,1989,2
2,441,1
0,420,0
1,3290,2
2,1296,1
0,437,0
1,3438,2
2,1757,1
0,428,0
1,2809,2
2,1573,1
0,454,0
1,3146,2
2,1570,1
0,659,0
1,3038,2
2,1516,1
0,436,0
1,2578,2
2,1081,1
0,262,0
1,1445,2
2,442,1
0,662,0
1,3250,2
2,1832,1
0,500,0
1,3022,2
2,1811,1
0,575,0
1,2975,2
2,1501,1
0,664,0
1,2931,2
2,1468,1
0,650,0
1,3120,2
2,1395,1
0,392,0
1,2096,2
2,999,1
0,185,0
1,1506,2
2,634,1
0,417,0
1,2282,2
2,1163,1
0,676,0
1,3080,2
2,1482,1
0,561,0
1,2609,2
2,1444,1
0,455,0
1,2493,2
2,1632,1
0,569,0
1,2744,2
2,1205,1
0,311,0
1,1921,2
2,841,1
0,319,0
1,1232,2
2,532,1
0,497,0
1,2716,2
2,1116,1
0,627,0
1,2968,2
2,1539,1
0,673,0
1,2848,2
2,1648,1
0,646,0
1,3044,2
2,1490,1
0,670,0
1,2865,2
2,1615,1
0,559,0
1,1961,2
2,1047,1
0,440,0
1,1283,2
2,548,1
0,795,0
1,3148,2
2,1550,1
0,775,0
1,3410,2
2,1656,1
0,895,0
1,2898,2
2,1784,1
0,759,0
1,2997,2
2,1534,1
0,1118,0
1,3292,2
2,2112,1
0,554,0
1,2410,2
2,1300,1
0,509,0
1,1799,2
2,509,0
0,823,0
1,2818,2
2,1539,1
0,750,0
1,3352,2
2,1960,1
0,884,0
1,2937,2
2,1808,1
0,1020,0
1,3075,2
2,1825,1
0,660,0
1,3056,2
2,1925,1
0,543,0
1,2366,2
2,1187,1
0,536,0
1,1647,2
2,694,1
0,820,0
1,3286,2
2,1660,1
0,884,0
1,3882,2
2,2486,1
0,1009,0
1,3368,2
2,1944,1
0,894,0
1,3395,2
2,1808,1
0,1158,0
1,3512,2
2,2215,1
0,935,0
1,2976,2
2,1884,1
0,687,0
1,2501,2
2,1046,1
0,1165,0
1,4334,2
2,2568,1
0,1344,0
1,4460,2
2,2744,1
0,1339,0
1,4807,2
2,2592,1
0,1329,0
1,4415,2
2,3194,1
0,1196,0
1,4291,2
2,3117,1
0,1241,0
1,3779,2
2,2330,1
0,693,0
1,2878,2
2,1358,1
0,1344,0
1,5548,2
2,3200,1
0,1726,0
1,5842,2
2,3862,1
0,1705,0
1,5282,2
2,3329,1
0,1451,0
1,5196,2
2,3562,1
0,1302,0
1,4610,2
2,3700,1
0,1238,0
1,4546,2
2,2721,1
0,945,0
1,2653,2
2,1933,1
0,1372,0
1,5137,2
2,3391,1
0,1472,0
1,5833,2
2,3977,1
0,1433,0
1,5459,2
2,3858,1
0,1708,0
1,5003,2
2,3532,1
0,1465,0
1,4828,2
2,4189,1
0,1203,0
1,3623,2
2,2680,1
0,671,0
1,2276,2
2,1682,1
0,854,0
1,2959,2
2,1894,1
0,1042,0
1,4890,2
2,3839,1
0,1341,0
1,5537,2
2,4161,1
0,1392,0
1,4454,2
2,3403,1
0,1506,0
1,4693,2
2,3480,1
0,882,0
1,3899,2
2,2309,1
0,669,0
1,2726,2
2,1586,1
0,1158,0
1,4734,2
2,3025,1
0,1033,0
1,4694,2
2,3540,1
0,1194,0
1,3829,2
2,2873,1
0,1183,0
1,4074,2
2,3157,1
0,1441,0
1,4096,2
2,3189,1
0,1085,0
1,3411,2
2,2311,1
0,832,0
1,2344,2
2,1739,1
0,1356,0
1,4630,2
2,3381,1
0,1620,0
1,5111,2
2,3408,1
0,1159,0
1,4421,2
2,3118,1
0,1194,0
1,3807,2
2,3149,1
0,1063,0
1,3951,2
2,2820,1
0,910,0
1,3036,2
2,2106,1
0,741,0
1,2060,2
2,1061,1
0,859,0
1,3611,2
2,2766,1
0,1258,0
1,3690,2
2,3114,1
0,939,0
1,3618,2
2,2881,1
0,1025,0
1,3504,2
2,2648,1
0,915,0
1,3551,2
2,2553,1
0,724,0
1,2215,2
2,1790,1
0,561,0
1,2309,2
2,1042,1
0,769,0
1,3847,2
2,2538,1
0,939,0
1,3692,2
2,2478,1
0,793,0
1,3364,2
2,2457,1
0,861,0
1,2949,2
2,2360,1
0,539,0
1,3249,2
2,2499,1
0,680,0
1,2292,2
2,1663,1
0,500,0
1,1711,2
2,1342,1
0,445,0
1,3305,2
2,2069,1
0,657,0
1,3303,2
2,2106,1
0,505,0
1,2715,2
2,2334,1
0,344,0
1,1900,2
2,1083,1
0,506,0
1,2304,2
2,1593,1
0,665,0
1,1976,2
2,1512,1
0,414,0
1,1283,2
2,677,1
0,728,0
1,2735,2
2,1902,1
0,656,0
1,2608,2
2,2307,1
0,824,0
1,3039,2
2,1835,1
0,344,0
1,2272,2
2,1976,1
0,691,0
1,2178,2
2,1851,1
0,436,0
1,1576,2
2,1470,1
0,274,0
1,1106,2
2,712,1
0,383,0
1,1085,2
2,649,1
0,648,0
1,2148,2
2,1583,1
0,493,0
1,2204,2
2,1771,1
0,553,0
1,1712,2
2,1541,1
0,414,0
1,1620,2
2,1426,1
0,340,0
1,1179,2
2,1096,1
0,256,0
1,833,2
2,525,1
0,385,0
1,1533,2
2,1073,1
0,335,0
1,1740,2
2,1180,1
0,442,0
1,1601,2
2,854,1
0,377,0
1,1236,2
2,1212,1
0,470,0
1,1148,2
2,1024,1
0,241,0
1,917,2
2,725,1
0,197,0
1,525,2
2,337,1
0,379,0
1,880,2
2,650,1
0,510,0
1,888,2
2,887,1
0,281,0
1,885,2
2,746,1
0,336,0
1,631,2
2,575,1
0,250,0
1,835,2
2,436,1
0,227,0
1,456,2
2,308,1
0,98,0
1,265,2
2,100,1
0,183,0
1,668,2
2,480,1
0,197,0
1,477,1
2,535,2
0,133,0
1,359,2
2,293,1
0,243,0
1,377,2
2,275,1
0,176,0
1,435,2
2,222,1
0,159,0
1,253,1
2,274,2
0,73,0
1,195,2
2,122,1
0,197,0
1,489,2
2,210,1
0,161,1
1,387,2
2,129,0
0,172,0
1,337,2
2,282,1
0,171,0
1,281,1
2,290,2
0,95,0
1,362,2
2,114,1
0,114,0
1,200,2
2,200,2
0,88,1
1,147,2
2,58,0
0,144,0
1,405,2
2,258,1
0,146,0
1,433,2
2,183,1
0,166,0
1,409,2
2,226,1
0,128,0
1,437,2
2,189,1
0,166,0
1,530,2
2,292,1
0,173,0
1,338,2
2,203,1
0,89,0
1,295,2
2,101,1
0,178,0
1,669,2
2,279,1
0,268,0
1,770,2
2,341,1
0,375,1
1,870,2
2,341,0
0,212,0
1,808,2
2,289,1
0,236,0
1,976,2
2,370,1
0,185,0
1,824,2
2,205,1
0,231,1
1,542,2
2,131,0
0,319,0
1,1274,2
2,353,1
0,364,0
1,1056,2
2,430,1
0,307,0
1,1022,2
2,445,1
0,370,0
1,1048,2
2,383,1
0,372,0
1,1104,2
2,484,1
0,333,1
1,848,2
2,332,0
0,251,1
1,669,2
2,132,0
0,450,0
1,1535,2
2,550,1
0,437,0
1,1381,2
2,595,1
0,200,1
1,790,2
2,189,0
0,493,0
1,1291,2
2,555,1
0,364,0
1,1216,2
2,490,1
0,427,1
1,907,2
2,330,0
0,261,1
1,740,2
2,158,0
0,485,0
1,1468,2
2,543,1
0,482,0
1,1243,2
2,537,1
0,531,1
1,1366,2
2,524,0
0,616,1
1,1227,2
2,535,0
0,476,0
1,1175,2
2,552,1
0,410,0
1,957,2
2,419,1
0,370,1
1,1000,2
2,219,0
0,541,0
1,1669,2
2,715,1
0,493,0
1,1441,2
2,749,1
0,579,0
1,1231,2
2,702,1
0,599,1
1,1337,2
2,555,0
0,651,0
1,1487,2
2,705,1
0,593,1
1,994,2
2,488,0
0,459,1
1,879,2
2,248,0
0,851,1
1,1750,2
2,848,0
0,810,0
1,1564,2
2,996,1
0,687,0
1,1200,2
2,847,1
0,642,0
1,1417,2
2,1056,1
0,851,0
1,1524,2
2,1028,1
0,627,1
1,971,2
2,597,0
0,502,1
1,574,2
2,354,0
0,869,0
1,1811,2
2,986,1
0,944,0
1,1724,2
2,1012,1
0,848,0
1,1662,2
2,928,1
0,742,0
1,1313,2
2,975,1
0,806,0
1,1368,2
2,909,1
0,669,1
1,1041,2
2,520,0
0,574,1
1,768,2
2,297,0
0,789,0
1,1649,2
2,1220,1
0,845,0
1,1825,2
2,1062,1
0,871,1
1,1703,2
2,850,0
0,944,0
1,1318,2
2,946,1
0,850,0
1,1470,2
2,887,1
0,678,0
1,940,2
2,878,1
0,477,1
1,633,2
2,459,0
0,904,0
1,1796,2
2,1212,1
0,1019,0
1,1493,2
2,1303,1
0,1055,1
1,1359,2
2,1050,0
0,919,0
1,1436,2
2,1122,1
0,722,0
1,1361,2
2,1174,1
0,765,1
1,1013,2
2,706,0
0,593,1
1,625,2
2,478,0
0,1041,0
1,1394,1
2,1547,2
0,1133,0
1,1280,1
2,1419,2
0,1033,0
1,1199,2
2,1123,1
0,874,0
1,1246,2
2,1105,1
0,828,0
1,1318,2
2,1260,1
0,570,0
1,704,1
2,754,2
0,416,1
1,540,2
2,349,0
0,933,0
1,1581,2
2,1369,1
0,1066,0
1,1259,1
2,1490,2
0,684,0
1,1300,1
2,1372,2
0,1077,0
1,1352,1
2,1355,2
0,809,0
1,1212,1
2,1374,2
0,462,0
1,925,2
2,852,1
0,311,0
1,572,2
2,411,1
0,932,0
1,1478,2
2,1332,1
0,783,0
1,1110,1
2,1462,2
0,719,0
1,1236,1
2,1271,2
0,695,0
1,1204,1
2,1330,2
0,639,0
1,912,1
2,1247,2
0,526,0
1,748,1
2,797,2
0,463,1
1,473,2
2,407,0
0,740,0
1,1285,1
2,1584,2
0,796,0
1,1345,1
2,1527,2
0,645,0
1,1471,2
2,1225,1
0,777,0
1,1194,1
2,1360,2
0,664,0
1,1288,1
2,1337,2
0,617,0
1,826,2
2,701,1
0,585,2
1,485,1
2,284,0
0,627,0
1,1328,1
2,1585,2
0,770,0
1,1389,1
2,1533,2
0,722,0
1,1505,2
2,1423,1
0,636,0
1,1431,2
2,1407,1
0,565,0
1,1610,2
2,1510,1
0,502,0
1,915,1
2,928,2
0,390,1
1,753,2
2,330,0
0,768,0
1,2220,2
2,1823,1
0,766,0
1,2261,2
2,1681,1
0,820,0
1,2267,2
2,1838,1
0,825,0
1,2414,2
2,2056,1
0,789,0
1,2434,2
2,2046,1
0,674,0
1,1837,2
2,1577,1
0,423,0
1,1316,2
2,795,1
0,1101,0
1,4171,2
2,2828,1
0,946,0
1,4284,2
2,3086,1
0,1259,0
1,4804,2
2,2961,1
0,1242,0
1,4665,2
2,3259,1
0,1142,0
1,4968,2
2,3442,1
0,973,0
1,3110,2
2,2131,1
0,751,0
1,2362,2
2,1029,1
0,1265,0
1,6591,2
2,4166,1
0,1337,0
1,6684,2
2,4345,1
0,1357,0
1,6710,2
2,4175,1
0,1097,0
1,6693,2
2,4279,1
0,1402,0
1,7004,2
2,4366,1
0,923,0
1,4644,2
2,2940,1
0,506,0
1,3219,2
2,1402,1
0,695,0
1,3963,2
2,1243,1
0,1258,0
1,8550,2
2,5118,1
0,1314,0
1,9096,2
2,4822,1
0,1132,0
1,8334,2
2,4568,1
0,1171,0
1,8986,2
2,4382,1
0,1202,0
1,5629,2
2,2913,1
0,796,0
1,4724,2
2,1345,1
0,1471,0
1,11667,2
2,5407,1
0,1483,0
1,11051,2
2,5406,1
0,1560,0
1,11280,2
2,5481,1
0,905,0
1,5939,2
2,2453,1
0,1171,0
1,10698,2
2,5231,1
0,1056,0
1,8510,2
2,4136,1
0,854,0
1,6486,2
2,2042,1
0,1755,0
1,16328,2
2,6647,1
0,1820,0
1,15206,2
2,6861,1
0,1606,0
1,15762,2
2,6917,1
0,1690,0
1,16199,2
2,6295,1
0,1771,0
1,16928,2
2,6375,1
0,1361,0
1,11201,2
2,4159,1
0,1120,0
1,8379,2
2,2050,1
0,1994,0
1,20931,2
2,7243,1
0,2226,0
1,18586,2
2,7328,1
0,1848,0
1,17974,2
2,6891,1
0,1797,0
1,18076,2
2,7057,1
0,1898,0
1,17683,2
2,6671,1
0,1684,0
1,11216,2
2,4804,1
0,1179,0
1,8270,2
2,2139,1
0,2179,0
1,20420,2
2,7793,1
0,2139,0
1,17812,2
2,8241,1
0,2357,0
1,16603,2
2,7389,1
0,2063,0
1,15480,2
2,6909,1
0,1988,0
1,14266,2
2,7159,1
0,1679,0
1,9837,2
2,4018,1
0,1217,0
1,6746,2
2,2101,1
0,2071,0
1,15545,2
2,6942,1
0,2133,0
1,12859,2
2,7090,1
0,1908,0
1,12212,2
2,6626,1
0,1929,0
1,11062,2
2,6285,1
0,1878,0
1,10438,2
2,6358,1
0,1465,0
1,6485,2
2,4115,1
0,894,0
1,4683,2
2,1954,1
0,1766,0
1,9830,2
2,5801,1
0,2105,0
1,8345,2
2,5598,1
0,1685,0
1,7508,2
2,4421,1
0,1395,0
1,6242,2
2,3849,1
0,1466,0
1,6175,2
2,3394,1
0,1349,0
1,4111,2
2,2455,1
0,909,0
1,2856,2
2,1348,1
0,1592,0
1,5970,2
2,4058,1
0,1585,0
1,5463,2
2,3398,1
0,1759,0
1,5316,2
2,3397,1
0,1706,0
1,4932,2
2,3481,1
0,1403,0
1,4430,2
2,2833,1
0,1146,0
1,2687,2
2,1239,1
0,1259,0
1,3436,2
2,1635,1
0,2377,0
1,7610,2
2,4694,1
0,2652,0
1,7809,2
2,5326,1
0,3070,0
1,8680,2
2,5788,1
0,3319,0
1,9242,2
2,6261,1
0,2708,0
1,7103,2
2,5337,1
0,1396,0
1,3886,2
2,1523,1
0,2781,1
1,6284,2
2,2517,0
0,4612,0
1,16217,2
2,9034,1
0,5601,0
1,16228,2
2,10011,1
0,5176,0
1,14831,2
2,9299,1
0,4827,0
1,13504,2
2,8275,1
0,4620,0
1,14011,2
2,8301,1
0,3789,0
1,9350,2
2,5624,1
0,3106,1
1,8079,2
2,2828,0
0,5698,0
1,22461,2
2,11649,1
0,5725,0
1,18948,2
2,10416,1
0,5528,0
1,19571,2
2,9721,1
0,5200,0
1,18607,2
2,9563,1
0,5360,0
1,20367,2
2,10190,1
0,4052,0
1,14865,2
2,7068,1
0,2816,0
1,11682,2
2,3373,1
0,6734,0
1,40794,2
2,17940,1
0,7886,0
1,38146,2
2,19801,1
0,7797,0
1,38245,2
2,20301,1
0,7285,0
1,37095,2
2,19081,1
0,6871,0
1,35444,2
2,20266,1
0,4875,0
1,22074,2
2,11699,1
0,3481,0
1,17048,2
2,5505,1
0,7651,0
1,47905,2
2,25637,1
0,6878,0
1,38779,2
2,24313,1
0,6113,0
1,34115,2
2,20798,1
0,5387,0
1,31091,2
2,18673,1
0,4786,0
1,27600,2
2,16807,1
0,3190,0
1,16366,2
2,10521,1
0,2235,0
1,11580,2
2,4484,1
0,4682,0
1,32343,2
2,19080,1
0,4088,0
1,24323,2
2,16327,1
0,3544,0
1,20685,2
2,13468,1
0,3114,0
1,18682,2
2,11520,1
0,2766,0
1,15922,2
2,10096,1
0,1912,0
1,10022,2
2,6415,1
0,1418,0
1,8250,2
2,3159,1
0,2813,0
1,19257,2
2,10783,1
0,2092,0
1,14103,2
2,8948,1
0,1987,0
1,12952,2
2,7478,1
0,1635,0
1,11359,2
2,6221,1
0,1891,0
1,10478,2
2,6064,1
0,1269,0
1,7164,2
2,3815,1
0,708,0
1,5888,2
2,2118,1
0,1306,0
1,12698,2
2,5404,1
0,1346,0
1,10793,2
2,5248,1
0,1373,0
1,9205,2
2,4671,1
0,1080,0
1,8361,2
2,3936,1
0,1006,0
1,7018,2
2,3523,1
0,660,0
1,5268,2
2,2481,1
0,392,0
1,4058,2
2,1286,1
0,891,0
1,9489,2
2,3612,1
0,825,0
1,8154,2
2,2742,1
0,882,0
1,7517,2
2,2791,1
0,720,0
