REGION,Total_cases,Risk_Index
Brussels,276,2
Flanders,298,3
Wallonia,265,1
Brussels,254,1
Flanders,368,3
Wallonia,260,2
Brussels,91,2
Flanders,140,3
Wallonia,59,1
Brussels,53,2
Flanders,162,3
Wallonia,35,1
Brussels,169,1
Flanders,531,3
Wallonia,192,2
Brussels,263,2
Flanders,514,3
Wallonia,195,1
Brussels,330,2
Flanders,433,3
Wallonia,193,1
Brussels,228,2
Flanders,456,3
Wallonia,177,1
Brussels,281,2
Flanders,518,3
Wallonia,261,1
Brussels,133,1
Flanders,244,3
Wallonia,138,2
Brussels,97,2
Flanders,183,3
Wallonia,53,1
Brussels,511,2
Flanders,591,3
Wallonia,281,1
Brussels,484,2
Flanders,675,3
Wallonia,384,1
Brussels,283,1
Flanders,682,3
Wallonia,425,2
Brussels,336,1
Flanders,856,3
Wallonia,435,2
Brussels,522,2
Flanders,778,3
Wallonia,473,1
Brussels,253,1
Flanders,489,3
Wallonia,391,2
Brussels,239,2
Flanders,378,3
Wallonia,160,1
Brussels,581,1
Flanders,1108,3
Wallonia,631,2
Brussels,628,1
Flanders,996,3
Wallonia,863,2
Brussels,780,1
Flanders,1113,3
Wallonia,851,2
Brussels,721,1
Flanders,1037,3
Wallonia,826,2
Brussels,577,1
Flanders,1357,3
Wallonia,777,2
Brussels,384,1
Flanders,920,3
Wallonia,582,2
Brussels,201,1
Flanders,494,3
Wallonia,513,2
Brussels,1051,2
Flanders,1298,3
Wallonia,930,1
Brussels,866,1
Flanders,1473,3
Wallonia,1080,2
Brussels,928,1
Flanders,1286,3
Wallonia,1162,2
Brussels,814,1
Flanders,1857,3
Wallonia,827,2
Brussels,741,1
Flanders,1362,3
Wallonia,836,2
Brussels,503,1
Flanders,729,2
Wallonia,759,3
Brussels,453,2
Flanders,579,3
Wallonia,379,1
Brussels,1078,1
Flanders,1694,3
Wallonia,1406,2
Brussels,1316,1
Flanders,1649,2
Wallonia,1701,3
Brussels,1395,1
Flanders,1857,3
Wallonia,1613,2
Brussels,1403,1
Flanders,1751,2
Wallonia,1879,3
Brussels,1045,1
Flanders,1817,2
Wallonia,2225,3
Brussels,702,1
Flanders,1093,2
Wallonia,1357,3
Brussels,448,1
Flanders,963,2
Wallonia,1248,3
Brussels,1606,1
Flanders,2607,2
Wallonia,2748,3
Brussels,1673,1
Flanders,2778,2
Wallonia,3378,3
Brussels,2064,1
Flanders,3328,2
Wallonia,4227,3
Brussels,1988,1
Flanders,3049,2
Wallonia,4098,3
Brussels,2027,1
Flanders,3719,2
Wallonia,5016,3
Brussels,1117,1
Flanders,2299,2
Wallonia,4060,3
Brussels,695,1
Flanders,1840,2
Wallonia,2518,3
Brussels,2153,1
Flanders,5173,2
Wallonia,5924,3
Brussels,2954,1
Flanders,5504,2
Wallonia,8551,3
Brussels,2979,1
Flanders,5843,2
Wallonia,8806,3
Brussels,2986,1
Flanders,5907,2
Wallonia,8751,3
Brussels,2959,1
Flanders,6454,2
Wallonia,9147,3
Brussels,2195,1
Flanders,4852,2
Wallonia,8218,3
Brussels,1279,1
Flanders,3348,2
Wallonia,5007,3
Brussels,4005,1
Flanders,8344,2
Wallonia,8704,3
Brussels,4901,1
Flanders,9595,2
Wallonia,13280,3
Brussels,3998,1
Flanders,9399,2
Wallonia,12708,3
Brussels,4779,1
Flanders,9963,2
Wallonia,13042,3
Brussels,4822,1
Flanders,11184,2
Wallonia,14929,3
Brussels,3460,1
Flanders,8529,2
Wallonia,11588,3
Brussels,2283,1
Flanders,5830,2
Wallonia,7139,3
Brussels,3423,1
Flanders,13329,2
Wallonia,13685,3
Brussels,4977,1
Flanders,13408,2
Wallonia,17622,3
Brussels,4458,1
Flanders,11315,2
Wallonia,17098,3
Brussels,3864,1
Flanders,10770,2
Wallonia,13944,3
Brussels,3786,1
Flanders,11547,2
Wallonia,14803,3
Brussels,2949,1
Flanders,8305,2
Wallonia,9032,3
Brussels,1456,1
Flanders,6444,3
Wallonia,6034,2
Brussels,2884,1
Flanders,11263,2
Wallonia,11646,3
Brussels,3414,1
Flanders,12075,2
Wallonia,14356,3
Brussels,2897,1
Flanders,9169,2
Wallonia,10435,3
Brussels,2405,1
Flanders,7815,2
Wallonia,8768,3
Brussels,1970,1
Flanders,8046,2
Wallonia,8512,3
Brussels,1824,1
Flanders,5476,2
Wallonia,5740,3
Brussels,930,1
Flanders,4361,3
Wallonia,3874,2
Brussels,2120,1
Flanders,8021,3
Wallonia,7160,2
Brussels,2549,1
Flanders,8763,3
Wallonia,8470,2
Brussels,1530,1
Flanders,5743,3
Wallonia,5454,2
Brussels,1893,1
Flanders,6330,3
Wallonia,6298,2
Brussels,1909,1
Flanders,6796,2
Wallonia,7340,3
Brussels,1602,1
Flanders,5073,3
Wallonia,4675,2
Brussels,730,1
Flanders,3609,3
Wallonia,2265,2
Brussels,1191,1
Flanders,5906,3
Wallonia,4260,2
Brussels,1397,1
Flanders,5234,2
Wallonia,5567,3
Brussels,1256,1
Flanders,5168,3
Wallonia,4267,2
Brussels,1305,1
Flanders,4920,3
Wallonia,3907,2
Brussels,1193,1
Flanders,4608,3
Wallonia,3525,2
Brussels,906,1
Flanders,3150,3
Wallonia,2122,2
Brussels,389,1
Flanders,2279,3
Wallonia,1406,2
Brussels,893,1
Flanders,4295,3
Wallonia,2906,2
Brussels,1099,1
Flanders,4961,3
Wallonia,2781,2
Brussels,1076,1
Flanders,4214,3
Wallonia,2874,2
Brussels,830,1
Flanders,3747,3
Wallonia,2819,2
Brussels,656,1
Flanders,3934,3
Wallonia,2686,2
Brussels,605,1
Flanders,3312,3
Wallonia,1428,2
Brussels,294,1
Flanders,2140,3
Wallonia,652,2
Brussels,725,1
Flanders,3224,3
Wallonia,1708,2
Brussels,740,1
Flanders,3770,3
Wallonia,2232,2
Brussels,877,1
Flanders,3978,3
Wallonia,2404,2
Brussels,626,1
Flanders,3338,3
Wallonia,2257,2
Brussels,808,1
Flanders,3679,3
Wallonia,2358,2
Brussels,439,1
Flanders,3107,3
Wallonia,1668,2
Brussels,245,1
Flanders,2149,3
Wallonia,796,2
Brussels,537,1
Flanders,3793,3
Wallonia,1906,2
Brussels,714,1
Flanders,3604,3
Wallonia,2617,2
Brussels,568,1
Flanders,3659,3
Wallonia,2152,2
Brussels,836,1
Flanders,3716,3
Wallonia,2108,2
Brussels,484,1
Flanders,3852,3
Wallonia,2111,2
Brussels,428,1
Flanders,3195,3
Wallonia,1455,2
Brussels,318,1
Flanders,2756,3
Wallonia,1020,2
Brussels,538,1
Flanders,3788,3
Wallonia,1899,2
Brussels,666,1
Flanders,4984,3
Wallonia,1992,2
Brussels,603,1
Flanders,3777,3
Wallonia,2281,2
Brussels,860,1
Flanders,3838,3
Wallonia,2120,2
Brussels,579,1
Flanders,3911,3
Wallonia,2193,2
Brussels,504,1
Flanders,2839,3
Wallonia,1854,2
Brussels,215,1
Flanders,2139,3
Wallonia,517,2
Brussels,573,1
Flanders,3702,3
Wallonia,1715,2
Brussels,621,1
Flanders,4053,3
Wallonia,2151,2
Brussels,446,1
Flanders,3947,3
Wallonia,1645,2
Brussels,406,1
Flanders,3659,3
Wallonia,1773,2
Brussels,222,1
Flanders,2094,3
Wallonia,474,2
Brussels,145,1
Flanders,2087,3
Wallonia,611,2
Brussels,163,1
Flanders,2199,3
Wallonia,879,2
Brussels,586,1
Flanders,3354,3
Wallonia,1583,2
Brussels,533,1
Flanders,3764,3
Wallonia,1915,2
Brussels,442,1
Flanders,2996,3
Wallonia,1581,2
Brussels,341,1
Flanders,2666,3
Wallonia,1404,2
Brussels,203,1
Flanders,1711,3
Wallonia,847,2
Brussels,222,1
Flanders,2031,3
Wallonia,834,2
Brussels,384,1
Flanders,1878,3
Wallonia,726,2
Brussels,413,1
Flanders,3186,3
Wallonia,1394,2
Brussels,751,1
Flanders,3226,3
Wallonia,1528,2
Brussels,640,1
Flanders,2727,3
Wallonia,1648,2
Brussels,562,1
Flanders,2928,3
Wallonia,1266,2
Brussels,580,1
Flanders,2548,3
Wallonia,1453,2
Brussels,446,1
Flanders,2309,3
Wallonia,1020,2
Brussels,239,1
Flanders,1584,3
Wallonia,421,2
Brussels,501,1
Flanders,2618,3
Wallonia,1425,2
Brussels,733,1
Flanders,2723,3
Wallonia,1398,2
Brussels,589,1
Flanders,2918,3
Wallonia,1199,2
Brussels,529,1
Flanders,2617,3
Wallonia,1302,2
Brussels,480,1
Flanders,3037,3
Wallonia,1239,2
Brussels,329,1
Flanders,1961,3
Wallonia,823,2
Brussels,272,1
Flanders,1283,3
Wallonia,425,2
Brussels,589,1
Flanders,3037,3
Wallonia,1293,2
Brussels,819,1
Flanders,3477,3
Wallonia,1617,2
Brussels,397,1
Flanders,3262,3
Wallonia,1513,2
Brussels,648,1
Flanders,2960,3
Wallonia,1492,2
Brussels,675,1
Flanders,3457,3
Wallonia,1397,2
Brussels,494,1
Flanders,2479,3
Wallonia,1094,2
Brussels,232,1
Flanders,1989,3
Wallonia,441,2
Brussels,420,1
Flanders,3290,3
Wallonia,1296,2
Brussels,437,1
Flanders,3438,3
Wallonia,1757,2
Brussels,428,1
Flanders,2809,3
Wallonia,1573,2
Brussels,454,1
Flanders,3146,3
Wallonia,1570,2
Brussels,659,1
Flanders,3038,3
Wallonia,1516,2
Brussels,436,1
Flanders,2578,3
Wallonia,1081,2
Brussels,262,1
Flanders,1445,3
Wallonia,442,2
Brussels,662,1
Flanders,3250,3
Wallonia,1832,2
Brussels,500,1
Flanders,3022,3
Wallonia,1811,2
Brussels,575,1
Flanders,2975,3
Wallonia,1501,2
Brussels,664,1
Flanders,2931,3
Wallonia,1468,2
Brussels,650,1
Flanders,3120,3
Wallonia,1395,2
Brussels,392,1
Flanders,2096,3
Wallonia,999,2
Brussels,185,1
Flanders,1506,3
Wallonia,634,2
Brussels,417,1
Flanders,2282,3
Wallonia,1163,2
Brussels,676,1
Flanders,3080,3
Wallonia,1482,2
Brussels,561,1
Flanders,2609,3
Wallonia,1444,2
Brussels,455,1
Flanders,2493,3
Wallonia,1632,2
Brussels,569,1
Flanders,2744,3
Wallonia,1205,2
Brussels,311,1
Flanders,1921,3
Wallonia,841,2
Brussels,319,1
Flanders,1232,3
Wallonia,532,2
Brussels,497,1
Flanders,2716,3
Wallonia,1116,2
Brussels,627,1
Flanders,2968,3
Wallonia,1539,2
Brussels,673,1
Flanders,2848,3
Wallonia,1648,2
Brussels,646,1
Flanders,3044,3
Wallonia,1490,2
Brussels,670,1
Flanders,2865,3
Wallonia,1615,2
Brussels,559,1
Flanders,1961,3
Wallonia,1047,2
Brussels,440,1
Flanders,1283,3
Wallonia,548,2
Brussels,795,1
Flanders,3148,3
Wallonia,1550,2
Brussels,775,1
Flanders,3410,3
Wallonia,1656,2
Brussels,895,1
Flanders,2898,3
Wallonia,1784,2
Brussels,759,1
Flanders,2997,3
Wallonia,1534,2
Brussels,1118,1
Flanders,3292,3
Wallonia,2112,2
Brussels,554,1
Flanders,2410,3
Wallonia,1300,2
Brussels,509,1
Flanders,1799,3
Wallonia,509,1
Brussels,823,1
Flanders,2818,3
Wallonia,1539,2
Brussels,750,1
Flanders,3352,3
Wallonia,1960,2
Brussels,884,1
Flanders,2937,3
Wallonia,1808,2
Brussels,1020,1
Flanders,3075,3
Wallonia,1825,2
Brussels,660,1
Flanders,3056,3
Wallonia,1925,2
Brussels,543,1
Flanders,2366,3
Wallonia,1187,2
Brussels,536,1
Flanders,1647,3
Wallonia,694,2
Brussels,820,1
Flanders,3286,3
Wallonia,1660,2
Brussels,884,1
Flanders,3882,3
Wallonia,2486,2
Brussels,1009,1
Flanders,3368,3
Wallonia,1944,2
Brussels,894,1
Flanders,3395,3
Wallonia,1808,2
Brussels,1158,1
Flanders,3512,3
Wallonia,2215,2
Brussels,935,1
Flanders,2976,3
Wallonia,1884,2
Brussels,687,1
Flanders,2501,3
Wallonia,1046,2
Brussels,1165,1
Flanders,4334,3
Wallonia,2568,2
Brussels,1344,1
Flanders,4460,3
Wallonia,2744,2
Brussels,1339,1
Flanders,4807,3
Wallonia,2592,2
Brussels,1329,1
Flanders,4415,3
Wallonia,3194,2
Brussels,1196,1
Flanders,4291,3
Wallonia,3117,2
Brussels,1241,1
Flanders,3779,3
Wallonia,2330,2
Brussels,693,1
Flanders,2878,3
Wallonia,1358,2
Brussels,1344,1
Flanders,5548,3
Wallonia,3200,2
Brussels,1726,1
Flanders,5842,3
Wallonia,3862,2
Brussels,1705,1
Flanders,5282,3
Wallonia,3329,2
Brussels,1451,1
Flanders,5196,3
Wallonia,3562,2
Brussels,1302,1
Flanders,4610,3
Wallonia,3700,2
Brussels,1238,1
Flanders,4546,3
Wallonia,2721,2
Brussels,945,1
Flanders,2653,3
Wallonia,1933,2
Brussels,1372,1
Flanders,5137,3
Wallonia,3391,2
Brussels,1472,1
Flanders,5833,3
Wallonia,3977,2
Brussels,1433,1
Flanders,5459,3
Wallonia,3858,2
Brussels,1708,1
Flanders,5003,3
Wallonia,3532,2
Brussels,1465,1
Flanders,4828,3
Wallonia,4189,2
Brussels,1203,1
Flanders,3623,3
Wallonia,2680,2
Brussels,671,1
Flanders,2276,3
Wallonia,1682,2
Brussels,854,1
Flanders,2959,3
Wallonia,1894,2
Brussels,1042,1
Flanders,4890,3
Wallonia,3839,2
Brussels,1341,1
Flanders,5537,3
Wallonia,4161,2
Brussels,1392,1
Flanders,4454,3
Wallonia,3403,2
Brussels,1506,1
Flanders,4693,3
Wallonia,3480,2
Brussels,882,1
Flanders,3899,3
Wallonia,2309,2
Brussels,669,1
Flanders,2726,3
Wallonia,1586,2
Brussels,1158,1
Flanders,4734,3
Wallonia,3025,2
Brussels,1033,1
Flanders,4694,3
Wallonia,3540,2
Brussels,1194,1
Flanders,3829,3
Wallonia,2873,2
Brussels,1183,1
Flanders,4074,3
Wallonia,3157,2
Brussels,1441,1
Flanders,4096,3
Wallonia,3189,2
Brussels,1085,1
Flanders,3411,3
Wallonia,2311,2
Brussels,832,1
Flanders,2344,3
Wallonia,1739,2
Brussels,1356,1
Flanders,4630,3
Wallonia,3381,2
Brussels,1620,1
Flanders,5111,3
Wallonia,3408,2
Brussels,1159,1
Flanders,4421,3
Wallonia,3118,2
Brussels,1194,1
Flanders,3807,3
Wallonia,3149,2
Brussels,1063,1
Flanders,3951,3
Wallonia,2820,2
Brussels,910,1
Flanders,3036,3
Wallonia,2106,2
Brussels,741,1
Flanders,2060,3
Wallonia,1061,2
Brussels,859,1
Flanders,3611,3
Wallonia,2766,2
Brussels,1258,1
Flanders,3690,3
Wallonia,3114,2
Brussels,939,1
Flanders,3618,3
Wallonia,2881,2
Brussels,1025,1
Flanders,3504,3
Wallonia,2648,2
Brussels,915,1
Flanders,3551,3
Wallonia,2553,2
Brussels,724,1
Flanders,2215,3
Wallonia,1790,2
Brussels,561,1
Flanders,2309,3
Wallonia,1042,2
Brussels,769,1
Flanders,3847,3
Wallonia,2538,2
Brussels,939,1
Flanders,3692,3
Wallonia,2478,2
Brussels,793,1
Flanders,3364,3
Wallonia,2457,2
Brussels,861,1
Flanders,2949,3
Wallonia,2360,2
Brussels,539,1
Flanders,3249,3
Wallonia,2499,2
Brussels,680,1
Flanders,2292,3
Wallonia,1663,2
Brussels,500,1
Flanders,1711,3
Wallonia,1342,2
Brussels,445,1
Flanders,3305,3
Wallonia,2069,2
Brussels,657,1
Flanders,3303,3
Wallonia,2106,2
Brussels,505,1
Flanders,2715,3
Wallonia,2334,2
Brussels,344,1
Flanders,1900,3
Wallonia,1083,2
Brussels,506,1
Flanders,2304,3
Wallonia,1593,2
Brussels,665,1
Flanders,1976,3
Wallonia,1512,2
Brussels,414,1
Flanders,1283,3
Wallonia,677,2
Brussels,728,1
Flanders,2735,3
Wallonia,1902,2
Brussels,656,1
Flanders,2608,3
Wallonia,2307,2
Brussels,824,1
Flanders,3039,3
Wallonia,1835,2
Brussels,344,1
Flanders,2272,3
Wallonia,1976,2
Brussels,691,1
Flanders,2178,3
Wallonia,1851,2
Brussels,436,1
Flanders,1576,3
Wallonia,1470,2
Brussels,274,1
Flanders,1106,3
Wallonia,712,2
Brussels,383,1
Flanders,1085,3
Wallonia,649,2
Brussels,648,1
Flanders,2148,3
Wallonia,1583,2
Brussels,493,1
Flanders,2204,3
Wallonia,1771,2
Brussels,553,1
Flanders,1712,3
Wallonia,1541,2
Brussels,414,1
Flanders,1620,3
Wallonia,1426,2
Brussels,340,1
Flanders,1179,3
Wallonia,1096,2
Brussels,256,1
Flanders,833,3
Wallonia,525,2
Brussels,385,1
Flanders,1533,3
Wallonia,1073,2
Brussels,335,1
Flanders,1740,3
Wallonia,1180,2
Brussels,442,1
Flanders,1601,3
Wallonia,854,2
Brussels,377,1
Flanders,1236,3
Wallonia,1212,2
Brussels,470,1
Flanders,1148,3
Wallonia,1024,2
Brussels,241,1
Flanders,917,3
Wallonia,725,2
Brussels,197,1
Flanders,525,3
Wallonia,337,2
Brussels,379,1
Flanders,880,3
Wallonia,650,2
Brussels,510,1
Flanders,888,3
Wallonia,887,2
Brussels,281,1
Flanders,885,3
Wallonia,746,2
Brussels,336,1
Flanders,631,3
Wallonia,575,2
Brussels,250,1
Flanders,835,3
Wallonia,436,2
Brussels,227,1
Flanders,456,3
Wallonia,308,2
Brussels,98,1
Flanders,265,3
Wallonia,100,2
Brussels,183,1
Flanders,668,3
Wallonia,480,2
Brussels,197,1
Flanders,477,2
Wallonia,535,3
Brussels,133,1
Flanders,359,3
Wallonia,293,2
Brussels,243,1
Flanders,377,3
Wallonia,275,2
Brussels,176,1
Flanders,435,3
Wallonia,222,2
Brussels,159,1
Flanders,253,2
Wallonia,274,3
Brussels,73,1
Flanders,195,3
Wallonia,122,2
Brussels,197,1
Flanders,489,3
Wallonia,210,2
Brussels,161,2
Flanders,387,3
Wallonia,129,1
Brussels,172,1
Flanders,337,3
Wallonia,282,2
Brussels,171,1
Flanders,281,2
Wallonia,290,3
Brussels,95,1
Flanders,362,3
Wallonia,114,2
Brussels,114,1
Flanders,200,3
Wallonia,200,3
Brussels,88,2
Flanders,147,3
Wallonia,58,1
Brussels,144,1
Flanders,405,3
Wallonia,258,2
Brussels,146,1
Flanders,433,3
Wallonia,183,2
Brussels,166,1
Flanders,409,3
Wallonia,226,2
Brussels,128,1
Flanders,437,3
Wallonia,189,2
Brussels,166,1
Flanders,530,3
Wallonia,292,2
